date,steps
2019-11-30,791
2019-12-01,3237
2019-12-02,5848
2019-12-03,5423
2019-12-04,6688
2019-12-05,5107
2019-12-06,5236
2019-12-07,3839
2019-12-08,2574
2019-12-09,4630
2019-12-10,4655
2019-12-11,4184
2019-12-12,3757
2019-12-13,3448
2019-12-14,4189
2019-12-15,9117
2019-12-16,5191
2019-12-17,2480
2019-12-18,6369
2019-12-19,2512
2019-12-20,4882
2019-12-21,6692
2019-12-22,2268
2019-12-23,17710
2019-12-24,10643
2019-12-25,3711
2019-12-26,8977
2019-12-27,3287
2019-12-28,20171
2019-12-29,3558
2019-12-30,3068
2019-12-31,2925
2020-01-01,3542
2020-01-02,3568
2020-01-03,3728
2020-01-04,3686
2020-01-05,7023
2020-01-06,5690
2020-01-07,4929
2020-01-08,4461
2020-01-09,8631
2020-01-10,7184
2020-01-11,3211
2020-01-12,3139
2020-01-13,5924
2020-01-14,4184
2020-01-15,3889
2020-01-16,4126
2020-01-17,7605
2020-01-18,7903
2020-01-19,5800
2020-01-20,4738
2020-01-21,5691
2020-01-22,5342
2020-01-23,5532
2020-01-24,7083
2020-01-25,3470
2020-01-26,6977
2020-01-27,4208
2020-01-28,4197
2020-01-29,4818
2020-01-30,3721
2020-01-31,8687
2020-02-01,13498
2020-02-02,4880
2020-02-03,8200
2020-02-04,6870
2020-02-05,4829
2020-02-06,3410
2020-02-07,6456
2020-02-08,3692
2020-02-09,5900
2020-02-10,4439
2020-02-11,6091
2020-02-12,4984
2020-02-13,5336
2020-02-14,6005
2020-02-15,5953
2020-02-16,4289
2020-02-17,4352
2020-02-18,8565
2020-02-19,4818
2020-02-20,6593
2020-02-21,4732
2020-02-22,5572
2020-02-23,4947
2020-02-24,5277
2020-02-25,4684
2020-02-26,5553
2020-02-27,8334
2020-02-28,8706
2020-02-29,5755
2020-03-01,6027
2020-03-02,6939
2020-03-03,5499
2020-03-04,5009
2020-03-05,6254
2020-03-06,10953
2020-03-07,7709
2020-03-08,5571
2020-03-09,3655
2020-03-10,5386
2020-03-11,6205
2020-03-12,2686
2020-03-13,8836
2020-03-14,1764
2020-03-15,5956
2020-03-16,1615
2020-03-17,1069
2020-03-18,796
2020-03-19,7699
2020-03-20,4279
2020-03-21,763
2020-03-22,696
2020-03-23,1081
2020-03-24,1458
2020-03-25,4403
2020-03-26,3613
2020-03-27,1229
2020-03-28,1458
2020-03-29,3009
2020-03-30,1148
2020-03-31,4378
2020-04-01,1689
2020-04-02,1037
2020-04-03,3940
2020-04-04,741
2020-04-05,3832
2020-04-06,6220
2020-04-07,3573
2020-04-08,8451
2020-04-09,1999
2020-04-10,10579
2020-04-11,7388
2020-04-12,3053
2020-04-13,19098
2020-04-14,1500
2020-04-15,8477
2020-04-16,4078
2020-04-17,7457
2020-04-18,7872
2020-04-19,7066
2020-04-20,801
2020-04-21,8315
2020-04-22,7717
2020-04-23,1038
2020-04-24,7923
2020-04-25,555
2020-04-26,7485
2020-04-27,5421
2020-04-28,1377
2020-04-29,810
2020-04-30,7757
2020-05-01,516
2020-05-02,8462
2020-05-03,7952
2020-05-04,6251
2020-05-05,1609
2020-05-06,7416
2020-05-07,1381
2020-05-08,703
2020-05-09,16325
2020-05-10,3905
2020-05-11,4502
2020-05-12,4238
2020-05-13,8113
2020-05-14,7637
2020-05-15,9076
2020-05-16,4933
2020-05-17,8528
2020-05-18,7518
2020-05-19,2943
2020-05-20,6436
2020-05-21,638
2020-05-22,4502
2020-05-23,11188
2020-05-24,10001
2020-05-25,6486
2020-05-26,10073
2020-05-27,5878
2020-05-28,8942
2020-05-29,13715
2020-05-30,10287
2020-05-31,8139
2020-06-01,6665
2020-06-02,7351
2020-06-03,4527
2020-06-04,5565
2020-06-05,3241
2020-06-06,6603
2020-06-07,11256
2020-06-08,5197
2020-06-09,4031
2020-06-10,3815
2020-06-11,7357
2020-06-12,3587
2020-06-13,5176
2020-06-14,3614
2020-06-15,3907
2020-06-16,4253
2020-06-17,6866
2020-06-18,4024
2020-06-19,5662
2020-06-20,4669
2020-06-21,4574
2020-06-22,2519
2020-06-23,4002
2020-06-24,13721
2020-06-25,7225
2020-06-26,3838
2020-06-27,3855
2020-06-28,6341
2020-06-29,6549
2020-06-30,4560
2020-07-01,2828
2020-07-02,5597
2020-07-03,7706
2020-07-04,6159
2020-07-05,3201
2020-07-06,8817
2020-07-07,4785
2020-07-08,3803
2020-07-09,3571
2020-07-10,5185
2020-07-11,5752
2020-07-12,6604
2020-07-13,5548
2020-07-14,4096
2020-07-15,2616
2020-07-16,6678
2020-07-17,3110
2020-07-18,7010
2020-07-19,3907
2020-07-20,6684
2020-07-21,3354
2020-07-22,8690
2020-07-23,4427
2020-07-24,9989
2020-07-25,2051
2020-07-26,5079
2020-07-27,7988
2020-07-28,1902
2020-07-29,4831
2020-07-30,3794
2020-07-31,4688
2020-08-01,3260
2020-08-02,2882
2020-08-03,5428
2020-08-04,4359
2020-08-05,3256
2020-08-06,10805
2020-08-07,8005
2020-08-08,4387
2020-08-09,3516
2020-08-10,6927
2020-08-11,7574
2020-08-12,2769
2020-08-13,487
2020-08-14,1086
2020-08-15,1961
2020-08-16,2043
2020-08-17,4067
2020-08-18,2403
2020-08-19,4653
2020-08-20,2861
2020-08-21,3409
2020-08-22,1717
2020-08-23,5086
2020-08-24,2891
2020-08-25,6056
2020-08-26,7298
2020-08-27,496
2020-08-28,10076
2020-08-29,10221
2020-08-30,17087
2020-08-31,15472
2020-09-01,12262
2020-09-02,11331
2020-09-03,9788
2020-09-04,16844
2020-09-05,12197
2020-09-06,10957
2020-09-07,11565
2020-09-08,7490
2020-09-09,5148
2020-09-10,9402
2020-09-11,11623
2020-09-12,12891
2020-09-13,9761
2020-09-14,10511
2020-09-15,7255
2020-09-16,8045
2020-09-17,9882
2020-09-18,16584
2020-09-19,19128
2020-09-20,6113
2020-09-21,6238
2020-09-22,6817
2020-09-23,6249
2020-09-24,7419
2020-09-25,16630
2020-09-26,13527
2020-09-27,10678
2020-09-28,6242
2020-09-29,10568
2020-09-30,6981
2020-10-01,9976
2020-10-02,10311
2020-10-03,17300
2020-10-04,13706
2020-10-05,13942
2020-10-06,6676
2020-10-07,9017
2020-10-08,5375
2020-10-09,21435
2020-10-10,10706
2020-10-11,7586
2020-10-12,8498
2020-10-13,4889
2020-10-14,11284
2020-10-15,10229
2020-10-16,9781
2020-10-17,13268
2020-10-18,14146
2020-10-19,11005
2020-10-20,7942
2020-10-21,6126
2020-10-22,9639
2020-10-23,7089
2020-10-24,11156
2020-10-25,7023
2020-10-26,10436
2020-10-27,11548
2020-10-28,5290
2020-10-29,11089
2020-10-30,9591
2020-10-31,17971
2020-11-01,7297
2020-11-02,12906
2020-11-03,14275
2020-11-04,7153
2020-11-05,8483
2020-11-06,9548
2020-11-07,10234
2020-11-08,8825
2020-11-09,10777
2020-11-10,12090
2020-11-11,10692
2020-11-12,10763
2020-11-13,6935
2020-11-14,8555
2020-11-15,9171
2020-11-16,6363
2020-11-17,7289
2020-11-18,11216
2020-11-19,10471
2020-11-20,16886
2020-11-21,9282
2020-11-22,9062
2020-11-23,2571
2020-11-24,10208
2020-11-25,5154
2020-11-26,7869
2020-11-27,1884
2020-11-28,4236
2020-11-29,7853
2020-11-30,3454
2020-12-01,2036
2020-12-02,2967
2020-12-03,6550
2020-12-04,1412
2020-12-05,532
2020-12-06,6786
2020-12-07,2326
2020-12-08,8610
2020-12-09,608
2020-12-10,2325
2020-12-11,130
2020-12-12,4858
2020-12-13,124
2020-12-14,1617
2020-12-15,1975
2020-12-16,3031
2020-12-17,4193
2020-12-18,1857
2020-12-19,2756
2020-12-20,5206
2020-12-21,1704
2020-12-22,2414
2020-12-23,2128
2020-12-24,3584
2020-12-25,3446
2020-12-26,10408
2020-12-27,1444
2020-12-28,19398
2020-12-29,4479
2020-12-30,2927
2020-12-31,3727
2021-01-01,3128
2021-01-02,421
2021-01-03,6446
2021-01-04,2434
2021-01-05,2116
2021-01-06,2333
2021-01-07,7545
2021-01-08,1734
2021-01-09,5950
2021-01-10,2625
2021-01-11,3392
2021-01-12,1986
2021-01-13,5154
2021-01-14,13653
2021-01-15,2042
2021-01-16,4955
2021-01-17,1522
2021-01-18,2051
2021-01-19,2076
2021-01-20,1737
2021-01-21,7243
2021-01-22,2291
2021-01-23,2291
2021-01-24,4191
2021-01-25,5436
2021-01-26,3068
2021-01-27,2026
2021-01-28,2645
2021-01-29,2468
2021-01-30,3029
2021-01-31,3605
2021-02-01,430
2021-02-02,2076
2021-02-03,4400
2021-02-04,5070
2021-02-05,2032
2021-02-06,7568
2021-02-07,2713
2021-02-08,3594
2021-02-09,1745
2021-02-10,2054
2021-02-11,688
2021-02-12,3636
2021-02-13,2905
2021-02-14,749
2021-02-15,1095
2021-02-16,2326
2021-02-17,6602
2021-02-18,4012
2021-02-19,3290
2021-02-20,3863
2021-02-21,5035
2021-02-22,7915
2021-02-23,4333
2021-02-24,4357
2021-02-25,7035
2021-02-26,4526
2021-02-27,6521
2021-02-28,4434
2021-03-01,7051
2021-03-02,7025
2021-03-03,3113
2021-03-04,4852
2021-03-05,9048
2021-03-06,9297
2021-03-07,3031
2021-03-08,6066
2021-03-09,2702
2021-03-10,3515
2021-03-11,9118
2021-03-12,15088
2021-03-13,8723
2021-03-14,8402
2021-03-15,6387
2021-03-16,4313
2021-03-17,9610
2021-03-18,5985
2021-03-19,13735
2021-03-20,6930
2021-03-21,4332
2021-03-22,12435
2021-03-23,9345
2021-03-24,7327
2021-03-25,12670
2021-03-26,12480
2021-03-27,9295
2021-03-28,8527
2021-03-29,15514
2021-03-30,6506
2021-03-31,5565
2021-04-01,8651
2021-04-02,22033
2021-04-03,11761
2021-04-04,8044
2021-04-05,14004
2021-04-06,9140
2021-04-07,9620
2021-04-08,9377
2021-04-09,15625
2021-04-10,11959
2021-04-11,9115
2021-04-12,15113
2021-04-13,8036
2021-04-14,10965
