date,steps
2024-01-09,6528
2024-01-10,9060
2024-01-11,7732
2024-01-12,11302
2024-01-13,7295
2024-01-14,5611
2024-01-15,4829
2024-01-16,12372
2024-01-17,11244
2024-01-18,6629
2024-01-19,14332
2024-01-20,7215
2024-01-21,6187
2024-01-22,9165
2024-01-23,7295
2024-01-24,11980
2024-01-25,5270
2024-01-26,7353
2024-01-27,8268
2024-01-28,5115
2024-01-29,4441
2024-01-30,5853
2024-01-31,5950
2024-02-01,4013
2024-02-02,5304
2024-02-03,11338
2024-02-04,7991
2024-02-05,7592
2024-02-06,4172
2024-02-07,3905
2024-02-08,4194
2024-02-09,11276
2024-02-10,16735
2024-02-11,10647
2024-02-12,11870
2024-02-13,8624
2024-02-14,12761
2024-02-15,7316
2024-02-16,11669
2024-02-17,10261
2024-02-18,14436
2024-02-19,7989
2024-02-20,5907
2024-02-21,9339
2024-02-22,11736
2024-02-23,9179
2024-02-24,14843
2024-02-25,5684
2024-02-26,11030
2024-02-27,6509
2024-02-28,9779
2024-02-29,10865
2024-03-01,14080
2024-03-02,7681
2024-03-03,12510
2024-03-04,12277
2024-03-05,8924
2024-03-06,7856
2024-03-07,11700
2024-03-08,15741
2024-03-09,13279
2024-03-10,9714
2024-03-11,6722
2024-03-12,11333
2024-03-13,8331
2024-03-14,13347
2024-03-15,6315
2024-03-16,4600
2024-03-17,13454
2024-03-18,7619
2024-03-19,10520
2024-03-20,10542
2024-03-21,5395
2024-03-22,4258
2024-03-23,3066
2024-03-24,10839
2024-03-25,7402
2024-03-26,9491
2024-03-27,9292
2024-03-28,14675
2024-03-29,7902
2024-03-30,10659
2024-03-31,4619
2024-04-01,9110
2024-04-02,8542
2024-04-03,8144
2024-04-04,12628
2024-04-05,4869
2024-04-06,8665
2024-04-07,4912
2024-04-08,5314
2024-04-09,11925
2024-04-10,8183
2024-04-11,12912
2024-04-12,8988
2024-04-13,8950
2024-04-14,6222
2024-04-15,11507
2024-04-16,8312
2024-04-17,11681
2024-04-18,9332
2024-04-19,10071
2024-04-20,12061
2024-04-21,8832
2024-04-22,5114
2024-04-23,11401
2024-04-24,8377
2024-04-25,10071
2024-04-26,15985
2024-04-27,11525
2024-04-28,6058
2024-04-29,10361
2024-04-30,6671
2024-05-01,12003
2024-05-02,9677
2024-05-03,19063
2024-05-04,7895
2024-05-05,7674
2024-05-06,9943
2024-05-07,10011
2024-05-08,10498
2024-05-09,12334
2024-05-10,16122
2024-05-11,10862
2024-05-12,8046
2024-05-13,7957
2024-05-14,11358
2024-05-15,8737
2024-05-16,9018
2024-05-17,5768
2024-05-18,8151
2024-05-19,6007
2024-05-20,8027
2024-05-21,6912
2024-05-22,7101
2024-05-23,11769
2024-05-24,9155
2024-05-25,7651
2024-05-26,14371
2024-05-27,9533
2024-05-28,7976
2024-05-29,14877
2024-05-30,13072
2024-05-31,14386
2024-06-01,12580
2024-06-02,8849
2024-06-03,8693
2024-06-04,15310
2024-06-05,18541
2024-06-06,11506
2024-06-07,12908
2024-06-08,12695
2024-06-09,6546
2024-06-10,6421
2024-06-11,15779
2024-06-12,20106
2024-06-13,24556
2024-06-14,11321
2024-06-15,11266
2024-06-16,6281
2024-06-17,5813
2024-06-18,5145
2024-06-19,4441
2024-06-20,5956
2024-06-21,5004
2024-06-22,4659
2024-06-23,4673
2024-06-24,7504
2024-06-25,6250
2024-06-26,3734
2024-06-27,7036
2024-06-28,6115
2024-06-29,15966
2024-06-30,12102
2024-07-01,5161
2024-07-02,4069
2024-07-03,5688
2024-07-04,10128
2024-07-05,9139
2024-07-06,3198
2024-07-07,4586
2024-07-08,4570
2024-07-09,3508
2024-07-10,8343
2024-07-11,3869
2024-07-12,3964
2024-07-13,8913
2024-07-14,6463
2024-07-15,7483
2024-07-16,4154
2024-07-17,5077
2024-07-18,5741
2024-07-19,3706
2024-07-20,8058
2024-07-21,16943
2024-07-22,13951
2024-07-23,5008
2024-07-24,5108
2024-07-25,3455
2024-07-26,6147
2024-07-27,5315
2024-07-28,5001
2024-07-29,7389
2024-07-30,2667
2024-07-31,8315
2024-08-01,4533
2024-08-02,5001
2024-08-03,7432
2024-08-04,8840
2024-08-05,4139
2024-08-06,5380
2024-08-07,3653
2024-08-08,5069
2024-08-09,2301
2024-08-10,9395
2024-08-11,3709
2024-08-12,6616
2024-08-13,4358
2024-08-14,6102
2024-08-15,3931
2024-08-16,6291
2024-08-17,1524
2024-08-18,8021
2024-08-19,9483
2024-08-20,5887
2024-08-21,7863
2024-08-22,8452
2024-08-23,3671
2024-08-24,9354
2024-08-25,5243
2024-08-26,4287
2024-08-27,7659
2024-08-28,4487
2024-08-29,5293
2024-08-30,3815
2024-08-31,4818
2024-09-01,11977
2024-09-02,7301
2024-09-03,4005
2024-09-04,3986
2024-09-05,7207
2024-09-06,1329
2024-09-07,10597
2024-09-08,4887
