group1,group2,raw_p,p_adj
5,8,9.513502012756847e-08,6.278911328419519e-06
5,12,4.482565013412238e-07,2.9136672587179548e-05
5,7,3.161973252585291e-06,0.0002023662881654586
4,8,3.278941320016128e-06,0.00020657330316101606
3,8,1.2749674921097059e-05,0.0007904798451080177
4,12,3.3597832936336525e-05,0.002049467809116528
4,7,5.525976641218851e-05,0.0033155859847313106
2,8,8.325082342703431e-05,0.004911798582195024
3,12,8.568298010910448e-05,0.00496961284632806
5,10,0.00014398837230272552,0.008207337221255355
3,7,0.00016125896497708016,0.00903050203871649
5,9,0.00026986989592189256,0.01484284427570409
6,8,0.0004199525771171209,0.022677439164324527
2,7,0.0005372157780032793,0.028472436234173802
2,12,0.0006863878185838526,0.03569216656636034
6,7,0.0017027424452807421,0.08683986470931784
4,10,0.002758106895747614,0.1379053447873807
1,5,0.0031127855486935982,0.15252649188598633
1,8,0.004118914396362703,0.19770789102540973
5,11,0.004303945149555487,0.20228542202910788
4,9,0.004855424921142535,0.2233495463725566
3,10,0.004866886337862508,0.21900988520381284
3,9,0.006261311227731678,0.2754976940201938
1,7,0.012365170464677732,0.5317023299811425
4,11,0.012624885767224175,0.5302452022234154
6,12,0.013357192162782314,0.5476448786740749
8,10,0.013749183060231665,0.5499673224092666
2,10,0.015900071199999526,0.6201027767999815
2,9,0.016939934438135264,0.64371750864914
3,11,0.020208965338055915,0.7477317175080689
2,11,0.035779442883213976,1.0
6,11,0.03709021763586591,1.0
1,3,0.04612572296092458,1.0
1,4,0.05150759974022175,1.0
7,10,0.05203511231872069,1.0
1,12,0.05432104501663359,1.0
8,9,0.057821178394721166,1.0
6,9,0.059427915168952405,1.0
6,10,0.08471934702766705,1.0
8,11,0.11687635777721317,1.0
7,9,0.13922315566153096,1.0
1,2,0.15068332555606032,1.0
10,12,0.1591733124813942,1.0
8,12,0.2259884244759386,1.0
5,6,0.2574409937789417,1.0
9,12,0.26976333059343416,1.0
7,11,0.2802031265905748,1.0
1,6,0.33248207934854823,1.0
1,9,0.34609674388887646,1.0
2,5,0.3747781505492802,1.0
1,11,0.39157526603809767,1.0
7,12,0.3982703098136746,1.0
11,12,0.3991273275753704,1.0
4,5,0.4841258366568213,1.0
1,10,0.5062123257844455,1.0
3,5,0.5356151849321827,1.0
2,3,0.7336826842954739,1.0
3,4,0.7564329234459592,1.0
7,8,0.7621237240138905,1.0
3,6,0.7674301572910827,1.0
4,6,0.818743179075688,1.0
9,10,0.8343072932755606,1.0
2,6,0.861580544195294,1.0
10,11,0.8824008071352184,1.0
2,4,0.8854683047811961,1.0
9,11,0.9818553224734272,0.9818553224734272
