group1,group2,raw_p,p_adj
3,7,4.337883320931481e-09,2.8630029918147775e-07
2,7,6.68241247416564e-09,4.3435681082076656e-07
4,7,1.493563901293998e-08,9.558808968281587e-07
7,10,1.110645243074399e-07,6.997065031368714e-06
2,5,6.192284065335236e-07,3.839216120507846e-05
3,5,6.234267576760436e-07,3.802903221823866e-05
2,8,7.782514962851786e-07,4.669508977711071e-05
4,5,1.207326245543387e-06,7.123224848705982e-05
3,8,1.9498099966651036e-06,0.00011308897980657601
4,8,2.8503846139030356e-06,0.00016247192299247303
2,6,6.0154567634180694e-06,0.0003368655787514119
5,10,7.086792854318714e-06,0.0003897736069875293
8,10,7.086792854318714e-06,0.0003826868141332106
3,6,2.4465294214290917e-05,0.0012966605933574186
7,12,3.27887762994484e-05,0.0017050163675713169
4,6,4.942599819037002e-05,0.0025207259077088713
2,11,0.00010064030240594149,0.005032015120297074
1,7,0.00010204120268566555,0.005000018931597613
8,12,0.00010811985249911014,0.005189752919957286
6,10,0.0001712516815688531,0.008048829033736096
5,12,0.0001804652339236331,0.008301400760487123
7,9,0.0004199525771171209,0.01889786597027044
3,11,0.0005802984357569338,0.02553313117330509
6,12,0.0006120147058077918,0.026316632349735046
4,11,0.0007697288698323856,0.032328612532960196
1,8,0.0008480321993124142,0.03476932017180898
1,5,0.0010899004648580793,0.043596018594323174
2,9,0.0023659923671207135,0.09227370231770783
8,9,0.0028917228429476403,0.10988546803201032
1,6,0.003485576444637148,0.1289663284515745
10,11,0.0036504344044418777,0.1314156385599076
5,9,0.004001596221961767,0.14005586776866186
11,12,0.008468676208610781,0.28793499109276655
3,9,0.009611235757219479,0.31717077998824283
6,9,0.01122776446668884,0.3592884629340429
4,9,0.012732114616306576,0.39469555310550386
7,11,0.033347769011182096,1.0
1,11,0.059751209360679736,1.0
2,10,0.0666112420204294,1.0
9,10,0.07021925278063376,1.0
9,12,0.07963827158584325,1.0
1,2,0.10059338459809605,1.0
8,11,0.10155134312666755,1.0
5,11,0.14312186516347095,1.0
9,11,0.20620548705301323,1.0
6,11,0.2170168245486217,1.0
1,12,0.2259884244759386,1.0
1,4,0.23969920136926848,1.0
3,10,0.2512088258279219,1.0
1,3,0.3040740898177029,1.0
4,10,0.3057044877258701,1.0
1,9,0.32305579344441027,1.0
2,4,0.35109854270850005,1.0
2,3,0.36687023128919083,1.0
10,12,0.6024314042605527,1.0
1,10,0.6422229979372139,1.0
6,8,0.7454910084152386,1.0
7,8,0.7999480597723025,1.0
5,6,0.8006860787312136,1.0
5,7,0.8108452458376683,1.0
2,12,0.8359340723556203,1.0
3,12,0.854781183252115,1.0
3,4,0.8568950259293664,1.0
5,8,0.8769282912644214,1.0
4,12,0.8909918050956755,1.0
6,7,0.9252913924296976,0.9252913924296976
