group1,group2,raw_p,p_adj
3,7,1.768038533681126e-11,1.166905432229543e-09
4,7,1.963460178549776e-11,1.2762491160573545e-09
2,7,4.4555522567226425e-11,2.851553444302491e-09
3,8,7.945704898072327e-11,5.005794085785565e-09
4,8,9.437872485185787e-11,5.8514809408151875e-09
2,8,1.22838188818407e-10,7.493129517922826e-09
7,10,1.0681404499632787e-07,6.408842699779672e-06
8,10,4.907844648393658e-07,2.8956283425522582e-05
1,7,1.2757206783183558e-05,0.0007399179934246463
1,8,2.8949206096511368e-05,0.001650104747501148
2,11,3.636314383040838e-05,0.0020363360545028694
7,12,4.693640039509832e-05,0.0025815020217304077
4,11,4.729771202118831e-05,0.0025540764491441686
3,11,7.522863587816525e-05,0.003987117701542758
8,12,0.00010425075654602126,0.005421039340393106
2,9,0.00010986064449771025,0.005602892869383223
3,9,0.00016212666827441214,0.008106333413720607
4,9,0.00020027682334075505,0.009813564343696998
7,9,0.0003275466979511727,0.01572224150165629
8,9,0.0007455124551566137,0.03503908539236084
3,6,0.001593016454535219,0.07327875690862007
2,10,0.0021819196412205754,0.0981863838549259
2,6,0.002418609776819486,0.10641883018005738
4,6,0.0029963668753872873,0.12884377564165336
5,8,0.003602921705723596,0.15132271164039104
5,7,0.003660968234997531,0.15009969763489878
3,10,0.00418970982200661,0.1675883928802644
4,10,0.00568487784700047,0.22171023603301834
2,12,0.006419194516136251,0.24392939161317756
4,12,0.006592261260389517,0.2439136666344121
3,12,0.006706275607805576,0.24142592188100073
2,5,0.006893907157993616,0.24128675052977655
3,5,0.009847007444272872,0.3347982531052776
4,5,0.009922844244276792,0.32745386006113414
1,2,0.01579562652788727,0.5054600488923926
7,11,0.020035243298816466,0.6210925422633105
1,3,0.02038927201228473,0.6116781603685418
1,4,0.026683731460820582,0.7738282123637968
10,11,0.02681480610378881,0.7508145709060867
8,11,0.026993853606549517,0.728834047376837
6,8,0.03128418420581537,0.8133887893511996
6,7,0.0397692676728417,0.9942316918210425
1,11,0.06931371084426992,1.0
6,10,0.10726729587238104,1.0
11,12,0.12041097983846255,1.0
9,10,0.14654525933392495,1.0
1,9,0.1851295795803336,1.0
6,12,0.1924621313677486,1.0
1,6,0.24814023562888632,1.0
9,11,0.3833984076223893,1.0
5,11,0.40233696542339925,1.0
10,12,0.4983124303885259,1.0
9,12,0.5006738759812879,1.0
1,5,0.5048044912378751,1.0
5,10,0.5272752559215174,1.0
5,12,0.6243138154763205,1.0
2,4,0.6337895665055553,1.0
1,12,0.6882165075916866,1.0
6,9,0.6899689213176726,1.0
6,11,0.7158032051606368,1.0
5,9,0.7411631001237879,1.0
5,6,0.7566910478244085,1.0
3,4,0.7959300192611398,1.0
2,3,0.8070779347107483,1.0
1,10,0.9492483072940725,1.0
7,8,0.9521804291821977,0.9521804291821977
